type,entry_price,sl,tps,entry_time,qty,current_tp_idx,realized_pnl,atr_value,exit_time,status
LONG,84389.5,84118.0552823416,"[np.float64(84751.4262902112), np.float64(84932.3894353168), np.float64(85113.3525804224), np.float64(85294.315725528), np.float64(85475.2788706336)]",2025-04-17 05:30:00,4,2,22.0,180.9631451056,2025-04-17 14:00:00,CLOSED
LONG,85101.9,84849.59017750654,"[np.float64(85438.31309665793), np.float64(85606.5196449869), np.float64(85774.72619331586), np.float64(85942.93274164482), np.float64(86111.1392899738)]",2025-04-18 01:15:00,16,0,-24.0,168.2065483289667,2025-04-18 02:00:00,CLOSED
LONG,87674.0,87200.88628189337,"[np.float64(88304.81829080883), np.float64(88620.22743621324), np.float64(88935.63658161765), np.float64(89251.04572702208), np.float64(89566.45487242649)]",2025-04-21 14:00:00,8,1,4.0,315.40914540441537,2025-04-21 16:45:00,CLOSED
LONG,87493.7,87125.60706233072,"[np.float64(87984.49058355903), np.float64(88229.88587533856), np.float64(88475.28116711807), np.float64(88720.6764588976), np.float64(88966.0717506771)]",2025-04-21 23:45:00,16,0,-24.0,245.39529177951871,2025-04-22 00:30:00,CLOSED
LONG,93976.7,93605.78759331044,"[np.float64(94471.24987558609), np.float64(94718.52481337912), np.float64(94965.79975117216), np.float64(95213.07468896521), np.float64(95460.34962675825)]",2025-04-23 13:00:00,16,0,-24.0,247.27493779304208,2025-04-23 13:30:00,CLOSED
LONG,93849.1,93184.05005084339,"[np.float64(94735.83326554215), np.float64(95179.19989831322), np.float64(95622.5665310843), np.float64(96065.93316385537), np.float64(96509.29979662645)]",2025-04-23 17:00:00,16,0,-24.0,443.36663277107345,2025-04-23 19:15:00,CLOSED
LONG,93860.8,93512.6836606566,"[np.float64(94324.95511912453), np.float64(94557.03267868678), np.float64(94789.11023824905), np.float64(95021.1877978113), np.float64(95253.26535737357)]",2025-04-28 03:45:00,0,5,47.0,232.07755956226117,2025-04-28 11:00:00,CLOSED
LONG,94701.8,94213.29839929209,"[np.float64(95353.13546761055), np.float64(95678.80320141584), np.float64(96004.47093522112), np.float64(96330.13866902639), np.float64(96655.80640283167)]",2025-04-28 19:15:00,8,1,4.0,325.66773380527815,2025-04-29 05:00:00,CLOSED
LONG,94902.0,94543.29481203151,"[np.float64(95380.27358395798), np.float64(95619.41037593698), np.float64(95858.54716791597), np.float64(96097.68395989496), np.float64(96336.82075187395)]",2025-04-29 07:15:00,8,1,4.0,239.13679197899276,2025-04-29 21:15:00,CLOSED
LONG,94989.8,94743.95337432231,"[np.float64(95317.59550090358), np.float64(95481.49325135538), np.float64(95645.39100180718), np.float64(95809.28875225896), np.float64(95973.18650271076)]",2025-04-30 09:30:00,16,0,-24.0,163.89775045179212,2025-04-30 12:30:00,CLOSED
